bond condition,tension method,Width_b_mm,Height_h_mm,Span_L_m,h0/mm,Cover_c_mm,hp/mm,cover for prestress ap/mm,As`/mm2,As_mm2,Ap_mm2,d1/mm,no.,d/mm,no..2,dpre/mm,no..3,fy/Mpa,fpu_Mpa,fpy/Mpa,Es_Mpa,Ep/Mpa,concrete grade,fc_Mpa,ft_Mpa,Ec_Mpa,tension force N/kN,sigma_pe_Mpa,sigma_con_Mpa,crack load Pcr/kN,crack moment Mcr/kN·m,ultimate load Pu/kN,ultimate moment Mu/kN·m,camber f/mm,moment corresponding to crack M/kN·m,load correspd to crack N/kN,average crack space /mm,Max crack width/mm,moment correspd to deflection1 M/kN·m,deflection1 f1/mm,load N/kN,deflection2 f2/mm,Deflection_Yielded_Dy_mm,Limit_Displacement_Du_mm,Ductility Coefficient μ,Stress_Increase_Dfps_Mpa,Mu (Ultimate Moment),Pu (Ultimate Load),Pcr (Cracking Load),Deflection f1/mm,Deflection f2/mm
U,H,200,300,3,246,54,230,70,157,151,101,8,3,10,2,8,2,1705,1705,1470,148000,148000,C40,42.15,4.3,28000,0,880,824,28,19.67,145.8,73.02,0.28,31.72,55.932,153.13,0.5,19.67,0.88,73.02,53.6,13.86,46.43,4.98,508,42222620,2407105,43000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,201,101,8,4,10,2,8,2,1705,1705,1470,148000,148000,C40,42.15,4.3,28000,0,880,824,28,22.03,145.8,77.14,0.28,32.4,55.932,162.5,0.5,22.03,1.16,77.14,73.14,13.86,46.43,4.98,508,56203620,2492355,43000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,151,151,8,3,10,2,8,3,1705,1705,1470,148000,148000,C40,47.89,4.3,28000,0,880,824,28,20.08,145.8,75.77,0.28,33.45,55.932,127.27,0.5,20.08,0.98,75.77,47.69,13.86,46.43,4.98,508,42222620,2699845,43000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,151,101,8,3,10,2,8,2,1705,1705,1470,148000,148000,C40,51.32,6,30000,0,880,824,28,22.36,145.8,67.65,0.28,33.01,55.932,185.71,0.5,22.36,0.98,67.65,52.14,13.86,46.43,4.98,508,42222620,2874775,60000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,201,101,8,4,10,2,8,2,1705,1705,1470,148000,148000,C40,51.32,6,30000,0,880,824,28,24.26,145.8,72.42,0.28,38,55.932,159.38,0.5,24.26,1.53,72.42,39.15,13.86,46.43,4.98,508,56203620,2960025,60000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,151,151,8,3,10,2,8,3,1705,1705,1470,148000,148000,C40,44.09,6,30000,0,880,824,28,22.49,145.8,103.12,0.28,41.93,55.932,125,0.5,22.49,1.35,103.12,57.35,13.86,46.43,4.98,508,42222620,2506045,60000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,201,101,8,4,10,2,8,2,1705,1705,1470,148000,148000,C40,53.32,6,30000,0,880,824,28,20.33,145.8,86.23,0.28,33.01,55.932,192.85,0.5,20.33,0.47,86.23,47.15,13.86,46.43,4.98,508,56203620,3062025,60000,3.91E-15,5.86E-15
U,H,200,300,3.6,246,54,230,70,157,201,101,8,4,10,2,8,2,1705,1705,1470,148000,148000,C40,43.89,6,30000,0,880,824,28,23.69,145.8,64.76,0.28,32.11,55.932,195,0.5,23.69,1.25,64.76,82.61,13.86,46.43,4.98,508,56203620,2581095,60000,8.10E-15,1.22E-14
U,H,200,300,4.2,246,54,230,70,157,201,101,8,4,10,2,8,2,1705,1705,1470,148000,148000,C40,50.27,6,30000,0,880,824,28,23.69,145.8,78.28,0.28,31.6,55.932,172.5,0.5,23.69,1.25,78.28,123.2,13.86,46.43,4.98,508,56203620,2906475,60000,1.50E-14,2.25E-14
B,H,150,250,2.8,225,25,190,60,226,402,202,16,2,12,2,8,4,368,1730,1470,148000,148000,C40,51.4,6,31400,0,880,824,28,23.69,145.8,78.28,0.28,31.6,55.932,172.5,0.5,23.69,46.43,78.28,123.2,13.86,46.43,4.98,508,104319000,2333835,60000,6.83E-15,1.02E-14
