bond condition,tension method,web width b/mm,height h/mm,top flange width bf/mm,top flange height hf/mm,low flange width bl/mm,low flange heighthl/mm,span L/m,h0/mm,cover for rein c/mm,hp/mm,cover for prestress ap/mm,As`/mm2,As/mm2,Ap/mm2,d1/mm,no.,d/mm,no..2,dpre/mm,no..3,fy/Mpa,fpu_Mpa,fpy/Mpa,Es_Mpa,Ep/Mpa,concrete grade,fc_Mpa,ft_Mpa,Ec_Mpa,tension force N/kN,sigma_pe_Mpa,sigma_con_Mpa,crack load Pcr/kN,crack moment Mcr/kN·m,ultimate load Pu/kN,ultimate moment Mu/kN·m,camber f/mm,moment corresponding to crack M/kN·m,load correspd to crack N/kN,average crack space /mm,Max crack width/mm,moment correspd to deflection1 M/kN·m,deflection1 f1/mm,load N/kN,deflection2 f2/mm,Deflection_Yielded_Dy_mm,Limit_Displacement_Du_mm,Ductility Coefficient μ,Stress_Increase_Dfps_Mpa,Mu (Ultimate Moment),Pu (Ultimate Load),Pcr (Cracking Load),Deflection f1/mm,Deflection f2/mm
B,X,50,350,125,30,25,90,4.2,320,20,300,50,113,402,150.9,16,2,6,4,10,2,394.2,1860,2655,185900,156300,C50,49.8,2.62,34500,200,1143.5,1275,67.8,44.07,193.3,1262,2.28,143.16,Pu/1.4,97,0.13,592.5,4.45,193.3,30.56,18.36,30.56,1.66,606.4,390882933.3,899243.4,7641.666667,1.06E-11,1.59E-11
B,X,50,350,125,30,25,90,4.2,320,20,300,50,113,402,150.9,16,2,6,4,10,2,394.2,1860,2655,185900,156300,C50,52.4,2.72,34900,200,1064.3,1147.5,68.3,44.39,225.3,1262,2.15,143.16,Pu/1.4,112,0.13,592.5,3.89,225.3,39.91,18.09,39.91,2.21,606.4,390882933.3,937918.4,7933.333333,1.22E-11,1.83E-11
U,X,50,350,125,30,25,90,4.2,320,20,300,50,113,515.2,150.9,16,2,6,4,10,2,394.2,1860,2655,185900,156300,C80,65.5,2.85,36500,200,1077.4,1147.5,69.2,44.98,229.6,1262,2.04,143.16,Pu/1.4,155.7,0.24,592.5,4.28,229.6,44.87,19.39,44.87,2.31,606.4,390882933.3,1177404.34,8312.5,1.19E-11,1.78E-11
U,X,50,350,125,30,25,90,4.2,320,20,300,50,113,515.2,150.9,16,2,6,4,10,2,394.2,1860,2655,185900,156300,C50,49.2,2.59,34400,200,1122.8,1147.5,70.1,45.57,204.6,1262,2.52,143.16,Pu/1.4,148.8,0.15,592.5,4.34,204.6,37.32,20.45,37.32,1.82,606.4,390882933.3,934941.84,7554.166667,1.12E-11,1.69E-11
B,X,50,300,125,30,25,90,4.8,320,20,250,50,201,515.2,420,16,2,8,4,15.2,3,394.2,1860,1820.1,185900,198500,RPC,112.3,8.8,43500,200,1122.8,1173.3,102.7,45.57,204.6,1262,7.24,143.16,Pu/1.4,148.8,0.15,592.5,20.77,204.6,37.32,20.45,37.32,1.82,606.4,390882933.3,1634916.84,22000,1.12E-11,1.69E-11
B,X,50,300,125,30,25,90,4.8,320,20,250,50,201,515.2,420,16,2,8,4,15.2,3,394.2,1860,1820.1,185900,198500,RPC,134.5,9.2,44300,200,1049.2,1167.9,117.6,45.57,204.6,1262,9.129,143.16,Pu/1.4,148.8,0.15,592.5,14.32,204.6,37.32,20.45,37.32,1.82,606.4,390882933.3,1917966.84,23000,1.12E-11,1.69E-11
B,X,50,300,125,30,25,90,4.8,320,20,250,50,201,515.2,420,16,2,8,4,15.2,3,394.2,1860,1820.1,185900,198500,RPC,127,9,44000,200,1042.2,1172.4,113.5,85.13,300.5,1262,8.229,143.16,Pu/1.4,62.4,0.08,592.5,13.78,300.5,64.72,40.89,64.72,1.58,606.4,390882933.3,1822341.84,22500,3.50E-11,5.25E-11
B,X,50,300,125,30,25,90,4.8,320,20,250,50,201,515.2,420,16,2,8,4,15.2,3,394.2,1860,1820.1,185900,198500,RPC,134.7,9.3,44600,200,29.6,74.8,21.9,23.01,332.7,1262,0.538,143.16,Pu/1.4,51.3,0.35,592.5,2.87,332.7,132.96,22.41,132.96,5.93,606.4,390882933.3,1920516.84,23250,3.82E-11,5.73E-11
B,X,50,300,125,30,25,90,4.8,320,20,250,50,201,515.2,420,16,2,8,4,15.2,3,394.2,1860,1820.1,185900,198500,RPC,131.7,9.2,44200,200,775.2,876.9,89.2,70.05,327.4,1262,6.038,143.16,Pu/1.4,50.1,0.21,592.5,10.53,327.4,111.48,37.41,111.48,2.98,606.4,390882933.3,1882266.84,23000,3.79E-11,5.69E-11
B,X,50,300,125,30,25,90,4.8,320,20,250,50,201,84.8,420,6,3,8,4,15.2,3,264,1860,1820.1,198000,198500,RPC,137.5,9.5,44400,200,776.3,861.5,95.1,71.33,250.6,1262,6.538,143.16,Pu/1.4,57.5,0.29,592.5,13.46,250.6,106.68,28.37,106.68,3.76,606.4,390882933.3,1775512.2,23750,2.89E-11,4.33E-11
